"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2019","10,700","10,700","10,700","10,500","3.50K","0.00%"
"09/30/2019","10,700","10,700","10,700","10,500","4.20K","3.88%"
"09/27/2019","10,300","11,000","11,100","10,300","10.70K","-6.36%"
"09/26/2019","11,000","11,100","11,100","11,000","3.20K","-1.79%"
"09/25/2019","11,200","11,000","11,400","11,000","4.20K","-1.75%"
"09/24/2019","11,400","11,000","11,400","11,000","2.00K","0.00%"
"09/23/2019","11,400","11,400","11,400","11,400","4.00K","0.00%"
"09/20/2019","11,400","11,500","11,500","11,400","0.70K","-2.56%"
"09/19/2019","11,700","11,400","11,700","11,400","2.60K","0.00%"
"09/18/2019","11,700","11,400","11,700","11,400","2.30K","1.74%"
"09/17/2019","11,500","11,500","11,500","11,500","1.70K","0.00%"
"09/16/2019","11,500","11,100","11,500","11,100","3.60K","-3.36%"
"09/13/2019","11,900","11,200","11,900","11,200","2.80K","7.21%"
"09/12/2019","11,100","12,000","12,000","11,100","1.90K","-5.93%"
